primary_label,inat_taxon_id,scientific_name,common_name_en,class_name,common_name_zh,wiki_url_zh,wiki_url_en
25092,25092,Elachistocleis bicolor,Two-colored oval frog,Amphibia,,,
25214,25214,Dermatonotus muelleri,Muller's Termite Frog,Amphibia,,,
326272,326272,Physalaemus biligonigerus,Weeping Frog,Amphibia,,,
41970,41970,Panthera onca,Jaguar,Mammalia,ÁæéÊ¥≤Ë±?https://zh.wikipedia.org/wiki/%E7%BE%8E%E6%B4%B2%E8%B1%B9,,
43435,43435,Alouatta caraya,Black Howling Monkey,Mammalia,ÈªëÂêº??https://zh.wikipedia.org/wiki/%E9%BB%91%E5%90%BC%E7%8C%B4,,
47144,47144,Canis familiaris,Domestic Dog,Mammalia,??https://zh.wikipedia.org/wiki/%E7%8A%AC,,
47158son01,47158,Insect son01,Insect sonotype01,Insecta,,,
47158son02,47158,Insect son02,Insect sonotype02,Insecta,,,
47158son03,47158,Insect son03,Insect sonotype03,Insecta,,,
47158son04,47158,Insect son04,Insect sonotype04,Insecta,,,
47158son05,47158,Insect son05,Insect sonotype05,Insecta,,,
47158son06,47158,Insect son06,Insect sonotype06,Insecta,,,
47158son07,47158,Insect son07,Insect sonotype07,Insecta,,,
47158son08,47158,Insect son08,Insect sonotype08,Insecta,,,
47158son09,47158,Insect son09,Insect sonotype09,Insecta,,,
47158son10,47158,Insect son10,Insect sonotype10,Insecta,,,
47158son11,47158,Insect son11,Insect sonotype11,Insecta,,,
47158son12,47158,Insect son12,Insect sonotype12,Insecta,,,
47158son13,47158,Insect son13,Insect sonotype13,Insecta,,,
47158son14,47158,Insect son14,Insect sonotype14,Insecta,,,
47158son15,47158,Insect son15,Insect sonotype15,Insecta,,,
47158son16,47158,Insect son16,Insect sonotype16,Insecta,,,
47158son17,47158,Insect son17,Insect sonotype17,Insecta,,,
47158son18,47158,Insect son18,Insect sonotype18,Insecta,,,
47158son19,47158,Insect son19,Insect sonotype19,Insecta,,,
47158son20,47158,Insect son20,Insect sonotype20,Insecta,,,
47158son21,47158,Insect son21,Insect sonotype21,Insecta,,,
47158son22,47158,Insect son22,Insect sonotype22,Insecta,,,
47158son23,47158,Insect son23,Insect sonotype23,Insecta,,,
47158son24,47158,Insect son24,Insect sonotype24,Insecta,,,
47158son25,47158,Insect son25,Insect sonotype25,Insecta,,,
476521,476521,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia,,,
516975,516975,Sapajus cay,Hooded Capuchin,Mammalia,,,
517063,517063,Pithecopus azureus,Southern Orange-legged Leaf Frog,Amphibia,,,
555123,555123,Boana lundii,Usina Tree Frog,Amphibia,,,
555145,555145,Boana punctata,Polka-dot Tree Frog,Amphibia,,,
555146,555146,Boana raniceps,Chaco Tree Frog,Amphibia,,,
64898,64898,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia,,,
65377,65377,Dendropsophus minutus,Lesser Tree Frog,Amphibia,,,
65380,65380,Dendropsophus nanus,Dwarf Tree Frog,Amphibia,,,
66971,66971,Pseudis platensis,Paraguayan Swimming Frog,Amphibia,,,
67107,67107,Rhinella diptycha,Rococo Toad,Amphibia,,,
67252,67252,Trachycephalus typhonius,Milk Frog,Amphibia,,,
70711,70711,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia,,,
738183,738183,Plecturocebus pallescens,White-coated Titi,Mammalia,,,
74113,74113,Bos taurus,Highland,Mammalia,ÂÆ∂Á?,https://zh.wikipedia.org/wiki/%E5%AE%B6%E7%89%9B,
74580,74580,Mico melanurus,Black-tailed Marmoset,Mammalia,,,
760266,760266,Prionacris erosa,Prionacris erosa,Insecta,,,
ashgre1,17431,Hylophilus pectoralis,Ashy-headed Greenlet,Aves,,,
astcra1,508907,Mustelirallus albicollis,Ash-throated Crake,Aves,,,
bafcur1,2046,Crax fasciolata,Bare-faced Curassow,Aves,,,
baffal1,4699,Micrastur ruficollis,Barred Forest-Falcon,Aves,,,
banana,10199,Coereba flaveola,Bananaquit,Aves,?âÊ£ÆÈ∂?https://zh.wikipedia.org/wiki/%E8%95%89%E6%A3%AE%E9%B6%AF,,
barant1,15764,Thamnophilus doliatus,Barred Antshrike,Aves,Ê®™Ê??ÅÈ?,https://zh.wikipedia.org/wiki/%E6%A8%AA%E6%96%91%E8%9A%81%E9%B5%99,
batbel1,8854,Procnias nudicollis,Bare-throated Bellbird,Aves,Ë£∏Â??òÈ?,https://zh.wikipedia.org/wiki/%E8%A3%B8%E5%96%89%E9%90%98%E9%9B%80,
baymac,19018,Ara ararauna,Blue-and-yellow Macaw,Aves,?çÈ??ëÂ?È∏öÈµ°,https://zh.wikipedia.org/wiki/%E8%97%8D%E9%BB%83%E9%87%91%E5%89%9B%E9%B8%9A%E9%B5%A1,
bbwduc,6893,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves,Á¥ÖÂò¥Ê®πÈ¥®,https://zh.wikipedia.org/wiki/%E7%B4%85%E5%98%B4%E6%A8%B9%E9%B4%A8,
bcwfin2,558564,Microspingus melanoleucus,Black-capped Warbling Finch,Aves,,,
bkcdon,116877,Donacobius atricapilla,Black-capped Donacobius,Aves,ÈªëÈ°∂Èπ™Ëé∫,https://zh.wikipedia.org/wiki/%E9%BB%91%E9%A1%B6%E9%B9%AA%E8%8E%BA,
bkhpar,367562,Aratinga nenday,Nanday Parakeet,Aves,,,
blchaw1,5346,Busarellus nigricollis,Black-collared Hawk,Aves,,,
blheag1,5291,Spizaetus tyrannus,Black Hawk-Eagle,Aves,,,
blttit1,8830,Tityra cayana,Black-tailed Tityra,Aves,,,
bncfly,16016,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves,,,
bobfly1,16737,Megarynchus pitangua,Boat-billed Flycatcher,Aves,?πÂò¥?∏È?,https://zh.wikipedia.org/wiki/%E8%88%B9%E5%98%B4%E9%9C%B8%E9%B9%9F,
brcmar1,11870,Progne tapera,Brown-chested Martin,Aves,,,
brnowl,1578502,Tyto furcata,American Barn Owl,Aves,,,
bucmot4,204447,Momotus momota,Amazonian Motmot,Aves,,,
bucpar,367564,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves,,,
bufpar,18978,Amazona aestiva,Turquoise-fronted Amazon,Aves,,,
bunibi1,3766,Theristicus caudatus,Buff-necked Ibis,Aves,,,
burowl,19975,Athene cunicularia,Burrowing Owl,Aves,Á©¥È?,https://zh.wikipedia.org/wiki/%E7%A9%B4%E9%B4%9E,
camfli1,18262,Colaptes campestris,Campo Flicker,Aves,,,
chacha1,2088,Ortalis canicollis,Chaco Chachalaca,Aves,,,
chbmoc1,14878,Mimus saturninus,Chalk-browed Mockingbird,Aves,,,
chobla1,10723,Gnorimopsar chopi,Chopi Blackbird,Aves,Â∑¥Ë•ø?üÈ?,https://zh.wikipedia.org/wiki/%E5%B7%B4%E8%A5%BF%E6%8B%9F%E9%B9%82,
chvcon1,10013,Conirostrum speciosum,Chestnut-vented Conebill,Aves,,,
cibspi1,10921,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves,,,
coffal1,4698,Micrastur semitorquatus,Collared Forest-Falcon,Aves,,,
compau,19627,Nyctidromus albicollis,Pauraque,Aves,,,
compot1,19667,Nyctibius griseus,Common Potoo,Aves,,,
crbthr1,12710,Turdus amaurochalinus,Creamy-bellied Thrush,Aves,,,
crebec1,8681,Pachyramphus validus,Crested Becard,Aves,,,
dwatin1,20714,Taoniscus nanus,Dwarf Tinamou,Aves,‰æè‰?,https://zh.wikipedia.org/wiki/%E4%BE%8F%E4%B3%8D,
epaori4,72954,Icterus pyrrhopterus,Variable Oriole,Aves,,,
eulfly1,17231,Lathrotriccus euleri,Euler's Flycatcher,Aves,,,
fabwre1,144880,Cantorchilus guarayanus,Fawn-breasted Wren,Aves,,,
fepowl,19822,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,,,
ficman1,14344,Machaeropterus pyrocephalus,Fiery-capped Manakin,Aves,,,
flawar1,201223,Myiothlypis flaveola,Flavescent Warbler,Aves,,,
fotfly,16793,Tyrannus savana,Fork-tailed Flycatcher,Aves,?âÂ∞æ?ãÈú∏Èπ?https://zh.wikipedia.org/wiki/%E5%8F%89%E5%B0%BE%E7%8E%8B%E9%9C%B8%E9%B9%9F,,
fusfly1,17076,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves,?óË??∏È?,https://zh.wikipedia.org/wiki/%E6%9A%97%E8%A4%90%E9%9C%B8%E9%B9%9F,
gilhum1,5979,Hylocharis chrysura,Gilded Hummingbird,Aves,?ëÁ∫¢?¥Ë?È∏?https://zh.wikipedia.org/wiki/%E9%87%91%E7%BA%A2%E5%98%B4%E8%9C%82%E9%B8%9F,,
giwrai1,460,Aramides ypecaha,Giant Wood Rail,Aves,,,
glteme1,1289639,Chionomesa fimbriata,Glittering-throated Emerald,Aves,ËæâÂ??ÇÈ?,https://zh.wikipedia.org/wiki/%E8%BE%89%E5%96%89%E8%9C%82%E9%B8%9F,
grasal3,9850,Saltator coerulescens,Bluish-grey Saltator,Aves,,,
greani1,1970,Crotophaga major,Greater Ani,Aves,,,
greant1,15957,Taraba major,Great Antshrike,Aves,,,
greela,16892,Myiopagis viridicata,Greenish Elaenia,Aves,,,
grekis,16956,Pitangus sulphuratus,Great Kiskadee,Aves,Â§ßÈ??áÈú∏Èπ?https://zh.wikipedia.org/wiki/%E5%A4%A7%E9%A3%9F%E8%9D%87%E9%9C%B8%E9%B9%9F,,
grepot1,19680,Nyctibius grandis,Great Potoo,Aves,,,
gretho2,11632,Phacellodomus ruber,Greater Thornbird,Aves,,,
greyel,3892,Tringa melanoleuca,Greater Yellowlegs,Aves,,,
grfdov1,3302,Leptotila rufaxilla,Grey-fronted Dove,Aves,,,
grhtan1,10698,Eucometis penicillata,Grey-headed Tanager,Aves,?∞Â§¥?êÁ∫≥?Ä,https://zh.wikipedia.org/wiki/%E7%81%B0%E5%A4%B4%E5%94%90%E7%BA%B3%E9%9B%80,
gycwor1,513889,Aramides cajaneus,Grey-cowled Wood Rail,Aves,,,
horscr1,6908,Anhima cornuta,Horned Screamer,Aves,ËßíÂè´È¥?https://zh.wikipedia.org/wiki/%E8%A7%92%E5%8F%AB%E9%B4%A8,,
houspa,13858,Passer domesticus,House Sparrow,Aves,ÂÆ∂È∫ª?Ä,https://zh.wikipedia.org/wiki/%E5%AE%B6%E9%BA%BB%E9%9B%80,
hyamac1,18938,Anodorhynchus hyacinthinus,Hyacinth Macaw,Aves,Á¥´Ë??ëÂ?È∏öÈµ°,https://zh.wikipedia.org/wiki/%E7%B4%AB%E8%97%8D%E9%87%91%E5%89%9B%E9%B8%9A%E9%B5%A1,
larela1,16734,Elaenia spectabilis,Large Elaenia,Aves,,,
lesela1,578460,Elaenia chiriquensis,Lesser Elaenia,Aves,,,
lesgrf1,10555,Emberizoides ypiranganus,Lesser Grass-Finch,Aves,,,
limpki,7,Aramus guarauna,Limpkin,Aves,ÁßßÈπ§,https://zh.wikipedia.org/wiki/%E7%A7%A7%E9%B9%A4,
linwoo1,17858,Dryocopus lineatus,Lineated Woodpecker,Aves,,,
litcuc2,72740,Coccycua minuta,Little Cuckoo,Aves,,,
litnig1,367507,Setopagis parvula,Little Nightjar,Aves,,,
mabpar,19162,Pyrrhura frontalis,Maroon-bellied Parakeet,Aves,,,
magant1,15737,Cercomacra melanaria,Mato Grosso Antbird,Aves,,,
magtan2,72727,Cissopis leverianus,Magpie Tanager,Aves,ÈπäËâ≤?êÁ∫≥?Ä,https://zh.wikipedia.org/wiki/%E9%B9%8A%E8%89%B2%E5%94%90%E7%BA%B3%E9%9B%80,
masgna1,7509,Polioptila dumicola,Masked Gnatcatcher,Aves,,,
nacnig1,19661,Chordeiles nacunda,Nacunda Nighthawk,Aves,,,
ocecra1,1506288,Rufirallus schomburgkii,Ocellated Crake,Aves,,,
oliwoo1,11511,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves,,,
orbtro3,62564,Icterus croconotus,Orange-backed Troupial,Aves,,,
orwpar,18982,Amazona amazonica,Orange-winged Amazon,Aves,Ê©ôÁøº‰∫ûÈ¶¨?úÈ?Èµ?https://zh.wikipedia.org/wiki/%E6%A9%99%E7%BF%BC%E4%BA%9E%E9%A6%AC%E9%81%9C%E9%B8%9A%E9%B5%A1,,
osprey,116999,Pandion haliaetus,Osprey,Aves,Èπ?https://zh.wikipedia.org/wiki/%E9%B9%97,,
pabspi1,10999,Synallaxis albescens,Pale-breasted Spinetail,Aves,,,
palhor3,11281,Furnarius leucopus,Pale-legged Hornero,Aves,,,
paltan1,10297,Thraupis palmarum,Palm Tanager,Aves,Ê£ïÊ?Ë£∏Èºª?Ä,https://zh.wikipedia.org/wiki/%E6%A3%95%E6%A6%88%E8%A3%B8%E9%BC%BB%E9%9B%80,
phecuc1,1982,Dromococcyx phasianellus,Pheasant Cuckoo,Aves,,,
picpig2,3102,Patagioenas picazuro,Picazuro Pigeon,Aves,,,
pirfly1,17312,Legatus leucophaius,Piratic Flycatcher,Aves,Âº∫Èú∏Èπ?https://zh.wikipedia.org/wiki/%E5%BC%BA%E9%9C%B8%E9%B9%9F,,
plasla1,73493,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves,È´òÂ??ÅÈ?,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%8E%9F%E8%9A%81%E9%B5%99,
platyr1,16344,Inezia inornata,Plain Inezia,Aves,,,
plcjay1,8484,Cyanocorax chrysops,Plush-crested Jay,Aves,ÁªíÂ??ùÈ∏¶,https://zh.wikipedia.org/wiki/%E7%BB%92%E5%86%A0%E8%93%9D%E9%B8%A6,
pluibi1,3768,Theristicus caerulescens,Plumbeous Ibis,Aves,,,
purjay1,8483,Cyanocorax cyanomelas,Purplish Jay,Aves,Ê∑°Á¥´?ùÈ∏¶,https://zh.wikipedia.org/wiki/%E6%B7%A1%E7%B4%AB%E8%93%9D%E9%B8%A6,
pvttyr1,16273,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Aves,,,
ragmac1,19016,Ara chloropterus,Red-and-green Macaw,Aves,ÁªøÁ??ëÂ?Èπ¶È?,https://zh.wikipedia.org/wiki/%E7%BB%BF%E7%BF%85%E9%87%91%E5%88%9A%E9%B9%A6%E9%B9%89,
rebscy1,11201,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves,,,
recfin1,10310,Coryphospingus cucullatus,Red-crested Finch,Aves,Á∫¢Â??Ä,https://zh.wikipedia.org/wiki/%E7%BA%A2%E5%86%A0%E9%9B%80,
redjun,882,Gallus gallus,Red Junglefowl,Aves,?üÈ?,https://zh.wikipedia.org/wiki/%E5%8E%9F%E9%9B%9E,
relser1,14,Cariama cristata,Red-legged Seriema,Aves,Á∫¢ËÖø?´Èπ§,https://zh.wikipedia.org/wiki/%E7%BA%A2%E8%85%BF%E5%8F%AB%E9%B9%A4,
rinkin1,2552,Megaceryle torquata,Ringed Kingfisher,Aves,,,
rivwar1,145267,Myiothlypis rivularis,Riverbank Warbler,Aves,,,
roahaw,201041,Rupornis magnirostris,Roadside Hawk,Aves,Â§ßÂò¥Èµ?https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%98%B4%E9%B5%9F,,
rubthr1,12738,Turdus rufiventris,Rufous-bellied Thrush,Aves,Ê£ïËÖπÈ∂?https://zh.wikipedia.org/wiki/%E6%A3%95%E8%85%B9%E9%B6%87,,
rufcac2,11718,Pseudoseisura unirufa,Rufous Cacholote,Aves,,,
rufcas2,17102,Casiornis rufus,Rufous Casiornis,Aves,,,
rufgna3,578313,Conopophaga lineata,Rufous Gnateater,Aves,,,
rufhor2,11275,Furnarius rufus,Rufous Hornero,Aves,Ê£ïÁÅ∂È≥?https://zh.wikipedia.org/wiki/%E6%A3%95%E7%81%B6%E9%B3%A5,,
rufnig1,201066,Antrostomus rufus,Rufous Nightjar,Aves,,,
ruftho1,11624,Phacellodomus rufifrons,Rufous-fronted Thornbird,Aves,,,
ruftof1,17026,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Aves,,,
rumfly1,16833,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves,,,
ruther1,5048,Tigrisoma lineatum,Rufescent Tiger Heron,Aves,,,
rutjac1,1468,Galbula ruficauda,Rufous-tailed Jacamar,Aves,Ê£ïÂ∞æÈ∂≤È¥∑,https://zh.wikipedia.org/wiki/%E6%A3%95%E5%B0%BE%E9%B6%B2%E9%B4%B7,
sabspa1,10064,Arremon flavirostris,Saffron-billed Sparrow,Aves,,,
saffin,9864,Sicalis flaveola,Saffron Finch,Aves,Ê°îÈ??ÄÈπÄ,https://zh.wikipedia.org/wiki/%E6%A1%94%E9%BB%84%E9%9B%80%E9%B9%80,
saytan1,10293,Thraupis sayaca,Sayaca Tanager,Aves,?∞Â?Ë£∏Èºª?Ä,https://zh.wikipedia.org/wiki/%E7%81%B0%E5%96%89%E8%A3%B8%E9%BC%BB%E9%9B%80,
scadov1,3564,Columbina squammata,Scaled Dove,Aves,,,
schpar1,19094,Pionus maximiliani,Scaly-headed Parrot,Aves,,,
scther1,5622,Phaethornis eurynome,Scale-throated Hermit,Aves,È≥ûÂ??êË?È∏?https://zh.wikipedia.org/wiki/%E9%B3%9E%E5%96%89%E9%9A%90%E8%9C%82%E9%B8%9F,,
shcfly1,16006,Myiarchus ferox,Short-crested Flycatcher,Aves,,,
shshaw,5097,Accipiter striatus,Sharp-shinned Hawk,Aves,,,
shtnig1,19645,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves,,,
sibtan2,10056,Ramphocelus carbo,Silver-beaked Tanager,Aves,,,
smbani,1971,Crotophaga ani,Smooth-billed Ani,Aves,ÊªëÂò¥?ÄÈµ?https://zh.wikipedia.org/wiki/%E6%BB%91%E5%98%B4%E7%8A%80%E9%B5%91,,
smbtin1,20570,Crypturellus parvirostris,Small-billed Tinamou,Aves,Â∞èÂò¥Á©¥‰?,https://zh.wikipedia.org/wiki/%E5%B0%8F%E5%98%B4%E7%A9%B4%E4%B3%8D,
sobcac1,10365,Cacicus solitarius,Solitary Cacique,Aves,,,
sobtyr1,16972,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves,,,
socfly1,16842,Myiozetetes similis,Social Flycatcher,Aves,,,
sofspi1,10996,Synallaxis frontalis,Sooty-fronted Spinetail,Aves,,,
souant1,17264,Corythopis delalandi,Southern Antpipit,Aves,,,
soulap1,4867,Vanellus chilensis,Southern Lapwing,Aves,È≥≥È†≠Ë∑ùÁ?È∫•È?,https://zh.wikipedia.org/wiki/%E9%B3%B3%E9%A0%AD%E8%B7%9D%E7%BF%85%E9%BA%A5%E9%9B%9E,
souscr1,6910,Chauna torquata,Southern Screamer,Aves,?†Âè´È∏?https://zh.wikipedia.org/wiki/%E5%86%A0%E5%8F%AB%E9%B8%AD,,
spbant3,15959,Hypoedaleus guttatus,Spot-backed Antshrike,Aves,,,
spispi1,10915,Synallaxis spixi,Spix's Spinetail,Aves,,,
sptnig1,1584760,Antiurus maculicaudus,Spot-tailed Nightjar,Aves,,,
squcuc1,1758,Piaya cayana,Common Squirrel-Cuckoo,Aves,,,
stbwoo2,72806,Dendroplex picus,Straight-billed Woodcreeper,Aves,,,
strcuc1,1989,Tapera naevia,Striped Cuckoo,Aves,,,
strher2,62528,Butorides striata,Striated Heron,Aves,ÁªøÈπ≠,https://zh.wikipedia.org/wiki/%E7%BB%BF%E9%B9%AD,
strowl1,558468,Asio clamator,Striped Owl,Aves,,,
swthum1,6065,Eupetomena macroura,Swallow-tailed Hummingbird,Aves,?ïÂ∞æ?ÇÈ≥•,https://zh.wikipedia.org/wiki/%E7%87%95%E5%B0%BE%E8%9C%82%E9%B3%A5,
swtman1,14306,Chiroxiphia caudata,Swallow-tailed Manakin,Aves,?ïÂ∞æÂ¨åÈ∂≤,https://zh.wikipedia.org/wiki/%E7%87%95%E5%B0%BE%E5%AC%8C%E9%B6%B2,
tattin1,20587,Crypturellus tataupa,Tataupa Tinamou,Aves,Â°îÈô∂Á©¥‰?,https://zh.wikipedia.org/wiki/%E5%A1%94%E9%99%B6%E7%A9%B4%E4%B3%8D,
thlwre1,7480,Campylorhynchus turdinus,Thrush-like Wren,Aves,,,
toctou1,18793,Ramphastos toco,Toco Toucan,Aves,Â§ßÂ∑®?¥È≥•,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%B7%A8%E5%98%B4%E9%B3%A5,
trokin,16787,Tyrannus melancholicus,Tropical Kingbird,Aves,,,
trsowl,19788,Megascops choliba,Tropical Screech Owl,Aves,,,
undtin1,20592,Crypturellus undulatus,Undulated Tinamou,Aves,Ê≥¢Ê?Á©¥‰?,https://zh.wikipedia.org/wiki/%E6%B3%A2%E6%96%91%E7%A9%B4%E4%B3%8D,
varant1,15757,Thamnophilus caerulescens,Variable Antshrike,Aves,?ÇËâ≤?ÅÈ?,https://zh.wikipedia.org/wiki/%E6%9D%82%E8%89%B2%E8%9A%81%E9%B5%99,
watjac1,4580,Jacana jacana,Wattled Jacana,Aves,,,
wesfie1,1286886,Pyriglena maura,Western Fire-eye,Aves,,,
wfwduc1,6898,Dendrocygna viduata,White-faced Whistling Duck,Aves,?ΩË?Ê®πÈ¥®,https://zh.wikipedia.org/wiki/%E7%99%BD%E8%87%89%E6%A8%B9%E9%B4%A8,
whbant2,15902,Biatas nigropectus,White-bearded Antshrike,Aves,,,
whbwar2,201224,Myiothlypis leucoblephara,White-browed Warbler,Aves,,,
whiwoo1,18183,Melanerpes candidus,White Woodpecker,Aves,?ΩÂ???https://zh.wikipedia.org/wiki/%E7%99%BD%E5%95%84%E6%9C%A8,,
whlspi1,10992,Synallaxis albilora,White-lored Spinetail,Aves,,,
whnjay1,8469,Cyanocorax cyanopogon,White-naped Jay,Aves,?ΩÊ??ùÈ∏¶,https://zh.wikipedia.org/wiki/%E7%99%BD%E6%9E%95%E8%93%9D%E9%B8%A6,
whtdov,3280,Leptotila verreauxi,White-tipped Dove,Aves,,,
whwpic1,17786,Picumnus albosquamatus,White-wedged Piculet,Aves,,,
y00678,4715,Caracara plancus,Crested Caracara,Aves,?°Ê??°Ê?È∑πÂ±¨,https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%8B%89%E5%8D%A1%E6%8B%89%E9%B7%B9%E5%B1%AC,
yebcar,10257,Paroaria capitata,Yellow-billed Cardinal,Aves,ÈªÑÂò¥?°Âò¥ÈπÄ,https://zh.wikipedia.org/wiki/%E9%BB%84%E5%98%B4%E8%9C%A1%E5%98%B4%E9%B9%80,
yebela1,16714,Elaenia flavogaster,Yellow-bellied Elaenia,Aves,,,
yecmac,73272,Primolius auricollis,Golden-collared Macaw,Aves,?ëÈ??ëÂ?Èπ¶È?,https://zh.wikipedia.org/wiki/%E9%87%91%E9%A2%86%E9%87%91%E5%88%9A%E9%B9%A6%E9%B9%89,
yecpar,19215,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves,,,
yehcar1,1432779,Daptrius chimachima,Yellow-headed Caracara,Aves,,,
yeofly1,16567,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves,,,
